Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1, C3_2, C3",1206,4,1u,
"C2_2, C2",1206,2,100u,
"C4_2, C4",C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,2,C,
"C5_2, C5, C6_2, C6",0402,4,1,C412451
"J1_2, J1",PinSocket_2x04_P2.54mm_Vertical,2,Conn_02x04_Counter_Clockwise,
"J10_2, J10",FPC-SMD_14P-P0.50_XUNPU_FPC-05F-14PH15,2, FPC-05F-14PH15,C2856818
"J3_2, J3, J5_2, J5",CONN-SMD_FH-00357,4,Conn_02x17_Counter_Clockwise,C2685114
"J4_2, J4",SD-381200-S304,2,~,
"J6_2, J6",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
"J7_2, J7",FPC-SMD_40P-P0.50_XW05200-40,2,FPC-SMD_40P-P0.50,C1121880
"J9_2, J9",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,
"R1_2, R1, R2_2, R2, R3_2, R3",1206,6,10k,C17902
"R4_2, R4",1206,2,1,C17928
"R6_2, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,R,
"R7_2, R7",1206,2,10,C17903
"RV1_2, RV1","Potentiometer_ACP_CA6-H2,5_Horizontal",2,R_Potentiometer,
"U2_2, U2",SOP-8_3.9x4.9mm_P1.27mm,2,HT82V739,
"U4_2, U4",SOT-89-3,2,HT7533-1,C14289
"U5_2, U5",SSOP-28_5.3x10.2mm_P0.65mm,2,MCP23017_SS,
